playerFullName,win,original_col,value
Alex Bregman,TRUE,H_num_mean,1.1444444444444446
Alex Bregman,TRUE,1B_num_median,1
Alex Bregman,TRUE,1B_num_mean,0.7555555555555555
Alex Bregman,TRUE,2B_num_median,0
Alex Bregman,TRUE,2B_num_mean,0.1999999999999999
Alex Bregman,TRUE,3B_num_median,0
Alex Bregman,TRUE,3B_num_mean,0.011111111111111129
Alex Bregman,TRUE,HR_num_median,0
Alex Bregman,TRUE,HR_num_mean,0.17777777777777778
Alex Bregman,TRUE,R_num_median,1
Alex Bregman,TRUE,R_num_mean,0.8333333333333334
Alex Bregman,TRUE,RBI_num_median,0
Alex Bregman,TRUE,RBI_num_mean,0.8000000000000002
Alex Bregman,TRUE,BB_num_median,0.5
Alex Bregman,TRUE,BB_num_mean,0.7333333333333333
Alex Bregman,TRUE,K_num_median,0
Alex Bregman,TRUE,K_num_mean,0.47777777777777775
Alex Bregman,TRUE,HBP_num_median,0
Alex Bregman,TRUE,HBP_num_mean,0.06666666666666661
Alex Bregman,TRUE,SB_num_median,0
Alex Bregman,TRUE,SB_num_mean,0.022222222222222227
Alex Bregman,TRUE,CS_num_median,0
Alex Bregman,TRUE,CS_num_mean,0.011111111111111127
Alex Bregman,TRUE,XBH_num_median,0
Alex Bregman,TRUE,XBH_num_mean,0.3888888888888887
Alex Bregman,TRUE,TB_num_median,1
Alex Bregman,TRUE,TB_num_mean,1.9000000000000001
Alex Bregman,TRUE,GDP_num_median,0
Alex Bregman,TRUE,GDP_num_mean,0.13333333333333336
Alex Bregman,TRUE,SF_num_median,0
Alex Bregman,TRUE,SF_num_mean,0.022222222222222223
Alex Bregman,TRUE,SH_num_median,0
Alex Bregman,TRUE,SH_num_mean,0
Alex Verdugo,FALSE,G_num_median,1
Alex Verdugo,FALSE,G_num_mean,0.9012345679012346
Alex Verdugo,FALSE,GS_num_median,1
Alex Verdugo,FALSE,GS_num_mean,0.8641975308641976
Alex Verdugo,FALSE,P_num_median,15
Alex Verdugo,FALSE,P_num_mean,14.469135802469134
Alex Verdugo,FALSE,PA_num_median,4
Alex Verdugo,FALSE,PA_num_mean,3.7037037037037033
Alex Verdugo,FALSE,AB_num_median,4
Alex Verdugo,FALSE,AB_num_mean,3.4691358024691357
Alex Verdugo,FALSE,H_num_median,0
Alex Verdugo,FALSE,H_num_mean,0.7283950617283951
Alex Verdugo,FALSE,1B_num_median,0
